Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
Pac 12,135.0,75.0,25.0,2.9,6.4,0.451,2.4,4.9,0.492,0.5,1.5,0.319,1.3,2.1,0.61,2.2,4.0,6.2,0.8,0.5,1.4,0.9,1.7,7.5,6.38,5,Josh Huestis,29,29,OKC,Stanford,3.0,76.0,1068.0,187.0,180.0,23.0,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.5,-0.4,2014
Pac 12,71.0,70.0,31.6,4.3,9.4,0.452,3.8,8.1,0.465,0.5,1.4,0.375,3.1,4.3,0.736,1.7,7.0,8.7,5.0,1.8,0.8,2.6,1.9,12.2,7.69,3,Kyle Anderson,30,30,SAS,UCLA,9.0,536.0,11374.0,3610.0,2352.0,1283.0,0.477,0.339,0.72,21.2,6.7,4.4,2.4,28.7,0.121,1.7,10.6,2014
ACC,94.0,61.0,24.3,3.9,8.6,0.45,3.0,5.8,0.516,0.9,2.8,0.313,2.4,3.2,0.767,1.8,3.0,4.8,0.9,0.9,1.9,1.5,1.8,11.0,4.61,4,K.J. McDaniels,32,32,PHI,Clemson,3.0,148.0,2092.0,782.0,324.0,95.0,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-2.8,-0.4,2014
ACC,135.0,128.0,30.3,4.2,9.5,0.445,2.3,4.7,0.484,1.9,4.8,0.407,2.2,3.1,0.722,0.9,2.9,3.8,1.9,0.9,0.4,1.6,2.3,12.6,5.73,5,Joe Harris,33,33,CLE,Virginia,9.0,448.0,11436.0,4864.0,1440.0,730.0,0.48,0.435,0.775,25.5,10.9,3.2,1.6,21.8,0.092,-0.7,3.8,2014
AAC,75.0,58.0,26.2,4.9,10.5,0.47,3.4,6.2,0.555,1.5,4.3,0.348,3.7,4.6,0.819,1.8,3.8,5.7,0.7,0.8,0.8,1.7,2.4,15.1,3.91,3,Cleanthony Early,34,34,NYK,Wichita State,2.0,56.0,801.0,241.0,123.0,42.0,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8,2014
SEC,87.0,84.0,29.7,4.7,8.9,0.53,4.7,8.9,0.532,0.0,0.0,0.0,3.5,5.6,0.628,3.9,5.7,9.6,1.5,0.7,1.1,2.1,2.2,13.0,6.83,4,Jarnell Stokes,35,35,UTA,Tennessee,3.0,28.0,151.0,67.0,40.0,7.0,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,0.1,0.1,2014
SEC,91.0,78.0,27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0.222,2.8,4.6,0.619,3.0,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,5.38,4,Johnny O'Bryant,36,36,MIL,LSU,4.0,147.0,1684.0,509.0,352.0,69.0,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8,2014
Big East,99.0,80.0,23.8,3.6,8.0,0.454,2.8,5.6,0.499,0.8,2.4,0.349,1.5,2.0,0.752,1.2,3.5,4.6,0.5,0.6,1.2,1.3,2.0,9.6,8.04,4,DeAndre Daniels,37,37,TOR,UConn,,,,,,,,,,,,,,,,,,2014
Pac 12,86.0,86.0,30.1,3.4,8.0,0.42,2.0,4.6,0.446,1.3,3.5,0.386,4.9,5.9,0.83,0.5,2.9,3.3,2.6,1.1,0.3,1.8,2.1,13.0,7.48,4,Spencer Dinwiddie,38,38,DET,Colorado,9.0,429.0,11624.0,5720.0,1297.0,2149.0,0.417,0.333,0.793,27.1,13.3,3.0,5.0,26.2,0.108,0.4,7.0,2014
ACC,72.0,29.0,21.9,2.6,5.3,0.486,2.5,5.1,0.496,0.1,0.3,0.3,2.2,3.5,0.641,1.7,2.9,4.7,0.9,0.6,0.5,0.9,1.8,7.5,7.91,3,Jerami Grant,39,39,PHI,Syracuse,9.0,594.0,15859.0,7184.0,2357.0,845.0,0.456,0.358,0.73,26.7,12.1,4.0,1.4,32.0,0.097,-0.2,7.0,2014
Big 10,76.0,76.0,33.0,4.6,8.8,0.525,3.9,6.4,0.603,0.7,2.4,0.313,2.1,2.9,0.718,1.8,3.1,4.9,1.1,1.0,0.3,1.0,1.3,12.0,9.85,3,Glenn Robinson III,40,40,MIN,Michigan,7.0,304.0,5299.0,1804.0,776.0,238.0,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,-1.7,0.4,2014
Pac 12,108.0,101.0,30.9,4.1,9.7,0.421,2.8,6.0,0.459,1.3,3.7,0.359,2.8,3.9,0.734,0.6,3.1,3.7,2.8,1.3,0.6,1.8,2.0,12.3,7.05,4,Nick Johnson,42,42,HOU,Arizona,1.0,28.0,262.0,74.0,39.0,11.0,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3,2014
Big 12,134.0,103.0,30.5,4.1,9.4,0.439,3.0,6.2,0.486,1.1,3.1,0.347,3.0,4.1,0.733,0.8,3.5,4.3,2.3,1.0,0.8,1.8,2.1,12.4,7.74,5,Markel Brown,44,44,MIN,Oklahoma State,3.0,113.0,1794.0,584.0,234.0,132.0,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4,2014
Pac 12,136.0,105.0,26.2,3.8,8.2,0.464,3.5,7.3,0.484,0.2,0.8,0.289,3.0,4.1,0.722,1.7,4.6,6.3,1.8,0.9,0.9,2.1,2.9,10.8,6.38,5,Dwight Powell,45,45,CHH,Stanford,9.0,549.0,10382.0,4150.0,2494.0,547.0,0.592,0.294,0.748,18.9,7.6,4.5,1.0,40.5,0.187,1.1,8.1,2014
SEC,93.0,75.0,31.7,5.1,11.6,0.44,4.1,8.4,0.485,1.0,3.2,0.322,4.2,5.2,0.805,0.8,2.5,3.3,2.7,0.9,0.3,2.7,2.3,15.4,4.32,7,Jordan Clarkson,46,46,WAS,Missouri,9.0,643.0,17588.0,10105.0,2137.0,1719.0,0.44,0.34,0.826,27.4,15.7,3.3,2.7,23.6,0.065,-0.5,6.7,2014
ACC,133.0,80.0,24.3,4.7,11.3,0.413,3.3,7.4,0.449,1.4,3.9,0.345,3.7,4.8,0.76,0.7,2.0,2.7,2.8,1.9,0.1,2.4,2.4,14.3,7.79,5,Russ Smith,47,47,PHI,Louisville,2.0,27.0,131.0,53.0,15.0,19.0,0.319,0.188,0.769,4.9,2.0,0.6,0.7,-0.2,-0.068,-5.1,-0.1,2014
ACC,149.0,106.0,24.3,3.2,7.4,0.435,2.1,4.3,0.483,1.1,3.1,0.369,1.9,2.6,0.723,1.2,2.8,3.9,2.9,1.0,0.3,1.6,1.9,9.5,6.87,6,Lamar Patterson,48,48,MIL,Pitt,2.0,40.0,435.0,93.0,57.0,45.0,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4,2014
MW,134.0,55.0,20.8,3.1,6.0,0.517,3.1,6.0,0.519,0.0,0.0,0.333,3.0,4.2,0.717,1.7,3.0,4.8,0.8,0.5,0.7,1.2,2.1,9.2,4.92,5,Cameron Bairstow,49,49,CHI,New Mexico,2.0,36.0,167.0,44.0,36.0,7.0,0.296,0.2,0.846,4.6,1.2,1.0,0.2,-0.1,-0.021,-8.1,-0.3,2014
Horizon,126.0,125.0,29.3,4.8,10.3,0.465,4.2,8.8,0.476,0.6,1.5,0.4,3.1,4.2,0.748,2.3,4.1,6.3,0.9,0.6,2.5,2.1,2.7,13.3,0.76,5,Alec Brown,50,50,PHO,Green Bay,,,,,,,,,,,,,,,,,,2014
Big East,64.0,63.0,34.8,5.7,12.3,0.462,5.3,11.1,0.476,0.4,1.2,0.338,4.4,6.6,0.67,0.3,2.5,2.8,4.4,1.4,0.2,3.1,2.4,16.2,6.55,3,Semaj Christon,55,55,MIA,Xavier,1.0,64.0,973.0,183.0,87.0,130.0,0.345,0.19,0.548,15.2,2.9,1.4,2.0,0.1,0.006,-5.1,-0.8,2014
Big 10,136.0,103.0,27.6,4.1,10.0,0.415,3.2,7.1,0.447,1.0,2.9,0.338,3.2,4.4,0.726,0.9,2.5,3.4,2.9,1.3,0.2,1.7,1.6,12.5,7.42,5,Devyn Marble,56,56,DEN,Iowa,2.0,44.0,457.0,97.0,69.0,29.0,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4,2014
SEC,114.0,74.0,27.1,4.4,10.4,0.417,2.8,5.9,0.475,1.6,4.6,0.343,3.1,4.0,0.769,0.7,2.6,3.3,1.8,0.6,0.9,2.0,1.9,13.3,7.3,5,Jordan McRae,58,58,SAS,Tennessee,4.0,123.0,1696.0,846.0,225.0,167.0,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0.0,2014
MW,128.0,95.0,28.0,3.3,8.4,0.395,2.4,5.7,0.418,1.0,2.8,0.348,3.1,3.8,0.814,0.5,2.1,2.6,2.8,1.1,0.2,1.6,1.9,10.7,4.86,7,Xavier Thames,59,59,TOR,San Diego State,,,,,,,,,,,,,,,,,,2014
Big 12,130.0,76.0,19.9,3.3,6.1,0.543,3.2,5.7,0.556,0.1,0.4,0.34,2.2,3.3,0.66,1.9,3.7,5.6,0.4,0.3,1.3,0.8,1.7,8.9,8.32,5,Cory Jefferson,60,60,SAS,Baylor,2.0,58.0,581.0,205.0,161.0,16.0,0.444,0.125,0.583,10.0,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2,2014
SEC,39.0,39.0,21.1,3.7,6.6,0.566,3.7,6.4,0.577,0.1,0.2,0.25,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,8.67,2,Karl-Anthony Towns,1,1,MIN,Kentucky,8.0,503.0,17181.0,11606.0,5637.0,1597.0,0.527,0.393,0.835,34.2,23.1,11.2,3.2,68.2,0.191,4.7,29.2,2015
Big 10,35.0,34.0,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,7.37,2,D'Angelo Russell,2,2,LAL,Ohio State,8.0,463.0,13755.0,8174.0,1628.0,2618.0,0.423,0.357,0.788,29.7,17.7,3.5,5.7,16.9,0.059,0.5,8.8,2015
ACC,38.0,38.0,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0.0,0.0,,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,9.87,2,Jahlil Okafor,3,3,PHI,Duke,6.0,247.0,4827.0,2566.0,1169.0,225.0,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2.0,0.0,2015
SEC,105.0,70.0,24.5,3.3,5.6,0.593,3.3,5.6,0.593,0.0,0.0,,1.4,2.8,0.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0,8.13,4,Willie Cauley-Stein,6,6,SAC,Kentucky,7.0,422.0,9276.0,3675.0,2470.0,598.0,0.544,0.188,0.612,22.0,8.7,5.9,1.4,23.3,0.121,-0.1,4.4,2015
Pac 12,38.0,37.0,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,7.41,2,Stanley Johnson,8,8,DET,Arizona,8.0,434.0,8619.0,2729.0,1348.0,644.0,0.389,0.304,0.749,19.9,6.3,3.1,1.5,6.7,0.038,-2.7,-1.5,2015
Big 10,144.0,79.0,20.4,3.7,7.0,0.522,3.0,5.1,0.58,0.7,1.9,0.369,2.1,2.7,0.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,9.61,5,Frank Kaminsky,9,9,CHO,Wisconsin,8.0,398.0,8084.0,3608.0,1561.0,638.0,0.431,0.351,0.745,20.3,9.1,3.9,1.6,15.8,0.094,-0.3,3.6,2015
ACC,39.0,39.0,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4.0,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,9.87,2,Justise Winslow,10,10,MIA,Duke,8.0,344.0,8905.0,2829.0,1760.0,889.0,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.6,0.047,-2.1,-0.2,2015
Big 12,34.0,7.0,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,9.07,2,Myles Turner,11,11,IND,Texas,8.0,466.0,13422.0,6081.0,3155.0,564.0,0.494,0.352,0.77,28.8,13.0,6.8,1.2,36.2,0.13,0.8,9.4,2015
SEC,36.0,21.0,23.0,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,8.67,2,Trey Lyles,12,12,UTA,Kentucky,8.0,483.0,8716.0,3728.0,2077.0,505.0,0.441,0.34,0.738,18.0,7.7,4.3,1.0,15.4,0.085,-1.0,2.1,2015
SEC,38.0,0.0,21.5,3.6,7.6,0.47,2.0,3.8,0.527,1.5,3.7,0.411,1.4,1.7,0.828,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0,8.67,2,Devin Booker,13,13,PHO,Kentucky,8.0,506.0,17074.0,12003.0,1999.0,2389.0,0.458,0.358,0.869,33.7,23.7,4.0,4.7,33.2,0.093,0.7,11.7,2015
Ohio Valley,69.0,69.0,32.4,6.3,14.6,0.432,4.0,8.3,0.487,2.3,6.3,0.359,3.7,4.7,0.781,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,-3.19,3,Cameron Payne,14,14,OKC,Murray State,8.0,307.0,5665.0,2472.0,688.0,1053.0,0.42,0.365,0.821,18.5,8.1,2.2,3.4,9.1,0.077,-0.5,2.2,2015
Big 12,36.0,27.0,21.0,3.1,6.9,0.444,2.1,4.3,0.497,0.9,2.6,0.358,2.2,3.1,0.718,1.1,3.8,5.0,0.8,1.1,0.4,1.2,2.0,9.3,12.13,2,Kelly Oubre Jr.,15,15,ATL,Kansas,8.0,514.0,13202.0,6475.0,2253.0,526.0,0.433,0.329,0.746,25.7,12.6,4.4,1.0,18.6,0.068,-1.8,0.6,2015
ACC,73.0,45.0,26.8,4.2,10.3,0.408,3.1,6.8,0.447,1.2,3.5,0.331,2.4,3.1,0.772,1.0,3.3,4.3,2.4,1.5,0.1,1.4,1.6,12.0,6.89,3,Terry Rozier,16,16,BOS,Louisville,8.0,510.0,13611.0,6733.0,2006.0,1683.0,0.417,0.371,0.824,26.7,13.2,3.9,3.3,24.5,0.086,0.4,8.2,2015
MW,23.0,23.0,32.3,6.3,14.3,0.439,3.9,8.1,0.481,2.3,6.1,0.383,3.0,4.3,0.694,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,3.38,2,Rashad Vaughn,17,17,MIL,UNLV,3.0,139.0,1671.0,423.0,158.0,75.0,0.337,0.313,0.692,12.0,3.0,1.1,0.5,-0.6,-0.017,-4.7,-1.2,2015
Big 10,113.0,81.0,27.9,4.4,9.0,0.493,3.2,5.3,0.591,1.3,3.6,0.348,2.0,2.8,0.695,1.6,3.4,5.0,1.3,0.6,0.5,1.0,1.2,12.1,10.07,4,Sam Dekker,18,18,HOU,Wisconsin,5.0,201.0,3097.0,1094.0,607.0,160.0,0.478,0.288,0.606,15.4,5.4,3.0,0.8,5.4,0.083,-1.4,0.5,2015
ACC,119.0,117.0,36.4,4.7,10.7,0.436,3.2,6.4,0.498,1.5,4.4,0.345,3.8,4.8,0.79,0.4,2.5,2.9,5.8,1.5,0.3,2.2,1.8,14.6,6.88,5,Jerian Grant,19,19,WAS,Notre Dame,5.0,279.0,4998.0,1692.0,530.0,805.0,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,2015
Pac 12,68.0,68.0,34.8,5.0,9.3,0.535,4.4,7.5,0.594,0.6,1.9,0.299,4.5,5.5,0.814,1.1,4.7,5.8,5.2,2.3,1.1,2.2,1.6,15.0,6.82,3,Delon Wright,20,20,TOR,Utah,8.0,424.0,8830.0,3021.0,1347.0,1289.0,0.452,0.349,0.799,20.8,7.1,3.2,3.0,23.5,0.128,2.2,9.3,2015
ACC,98.0,44.0,24.1,2.9,6.8,0.43,1.9,4.1,0.481,1.0,2.8,0.357,2.0,2.7,0.752,0.8,2.7,3.5,1.8,0.6,0.9,1.3,1.4,8.9,6.64,4,Justin Anderson,21,21,DAL,Virginia,6.0,242.0,3280.0,1284.0,621.0,184.0,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4,2015
SEC,70.0,70.0,28.5,5.9,11.2,0.526,5.5,10.3,0.54,0.3,0.9,0.365,2.9,3.9,0.737,3.1,4.7,7.9,1.3,1.1,1.5,1.4,2.0,15.0,6.18,3,Bobby Portis,22,22,CHI,Arkansas,8.0,495.0,10945.0,5610.0,3417.0,611.0,0.473,0.377,0.755,22.1,11.3,6.9,1.2,24.5,0.108,-0.4,4.4,2015
Pac 12,76.0,31.0,27.0,3.4,6.9,0.496,3.3,6.4,0.52,0.1,0.5,0.205,3.3,4.7,0.697,2.1,4.1,6.3,1.5,0.9,0.9,1.4,2.4,10.2,8.23,3,Rondae Hollis-Jefferson,23,23,POR,Arizona,6.0,305.0,6759.0,2760.0,1684.0,579.0,0.449,0.212,0.735,22.2,9.0,5.5,1.9,12.9,0.091,-0.7,2.3,2015
ACC,39.0,39.0,33.9,3.5,8.3,0.417,2.3,5.1,0.44,1.2,3.2,0.379,3.7,4.2,0.889,0.5,3.0,3.5,5.6,1.5,0.1,1.9,1.2,11.8,9.87,2,Tyus Jones,24,24,CLE,Duke,8.0,496.0,9350.0,3255.0,891.0,1886.0,0.437,0.359,0.813,18.9,6.6,1.8,3.8,22.5,0.115,0.6,6.1,2015
SEC,65.0,57.0,30.7,5.0,10.1,0.494,4.3,8.0,0.541,0.6,2.0,0.308,3.1,4.5,0.689,2.4,4.6,6.9,1.4,1.0,0.7,2.2,2.6,13.7,6.12,3,Jarell Martin,25,25,MEM,LSU,4.0,184.0,2927.0,998.0,639.0,114.0,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,2015
MW,123.0,89.0,29.5,4.1,8.0,0.521,3.9,7.0,0.551,0.3,1.0,0.308,2.7,3.5,0.771,1.5,5.1,6.6,1.4,1.1,1.1,1.6,2.3,11.3,2.07,5,Larry Nance Jr.,27,27,LAL,Wyoming,8.0,428.0,10254.0,3464.0,2755.0,805.0,0.534,0.335,0.691,24.0,8.1,6.4,1.9,27.0,0.126,1.1,8.0,2015
Sun Belt,99.0,98.0,34.7,5.6,13.3,0.423,3.1,6.1,0.505,2.6,7.2,0.354,4.5,5.3,0.853,0.7,4.1,4.8,2.4,1.9,0.9,1.7,2.2,18.4,-2.32,4,R.J. Hunter,28,28,BOS,Georgia State University,4.0,45.0,395.0,133.0,46.0,19.0,0.371,0.295,0.818,8.8,3.0,1.0,0.4,0.4,0.051,-2.0,0.0,2015
ACC,16.0,16.0,28.1,3.4,7.1,0.478,3.3,7.0,0.473,0.1,0.1,1.0,2.5,4.4,0.563,2.3,4.6,6.9,1.1,1.7,2.1,2.2,2.6,9.3,7.68,2,Chris McCullough,29,29,BRK,Syracuse,3.0,59.0,532.0,194.0,112.0,15.0,0.426,0.306,0.548,9.0,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1,2015
Pac 12,36.0,36.0,30.9,4.2,8.9,0.47,3.6,7.4,0.481,0.6,1.5,0.415,2.6,4.1,0.626,3.4,5.8,9.2,1.4,1.3,0.9,1.3,2.9,11.6,8.27,2,Kevon Looney,30,30,GSW,UCLA,8.0,408.0,6968.0,1990.0,2096.0,613.0,0.574,0.172,0.611,17.1,4.9,5.1,1.5,24.6,0.169,0.1,3.7,2015
ACC,112.0,75.0,26.4,4.8,8.1,0.586,4.7,7.8,0.6,0.1,0.4,0.275,1.9,3.6,0.533,2.6,4.3,6.9,0.9,0.8,1.1,1.3,1.9,11.6,7.64,4,Montrezl Harrell,32,32,HOU,Louisville,8.0,495.0,10327.0,6122.0,2530.0,667.0,0.619,0.114,0.665,20.9,12.4,5.1,1.3,42.2,0.196,2.7,12.2,2015
SEC,65.0,65.0,33.8,5.6,10.8,0.518,5.6,10.6,0.527,0.0,0.2,0.071,2.9,4.3,0.669,2.7,6.1,8.8,1.2,0.8,3.4,2.8,2.4,14.0,6.12,3,Jordan Mickey,33,33,BOS,LSU,3.0,64.0,482.0,152.0,128.0,17.0,0.449,0.118,0.605,7.5,2.4,2.0,0.3,0.5,0.05,-4.8,-0.3,2015
Pac 12,144.0,105.0,29.2,3.6,8.4,0.428,2.1,4.7,0.448,1.5,3.8,0.403,2.1,2.8,0.751,1.0,3.8,4.8,1.6,0.7,0.2,1.6,1.8,10.8,6.57,6,Anthony Brown,34,34,LAL,Stanford,3.0,41.0,762.0,161.0,103.0,28.0,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6,2015
ACC,142.0,140.0,22.0,2.9,5.1,0.56,2.9,5.1,0.56,0.0,0.0,0.0,1.6,2.4,0.681,2.0,3.3,5.3,0.6,0.5,1.7,1.1,2.6,7.4,7.88,5,Rakeem Christmas,36,36,MIN,Syracuse,2.0,30.0,225.0,63.0,57.0,4.0,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2,2015
MAC,95.0,63.0,26.5,4.2,7.7,0.554,3.9,6.8,0.58,0.3,0.9,0.353,2.7,3.8,0.697,2.6,4.2,6.9,0.7,0.8,2.6,1.5,2.5,11.5,-1.07,4,Richaun Holmes,37,37,PHI,Bowling Green,8.0,402.0,8156.0,3676.0,2219.0,407.0,0.606,0.263,0.746,20.3,9.1,5.5,1.0,27.1,0.16,0.3,4.7,2015
Big East,132.0,112.0,26.8,3.7,8.5,0.436,2.1,4.2,0.507,1.6,4.3,0.367,2.4,3.2,0.748,0.5,2.5,3.0,1.9,1.3,0.4,1.6,2.1,11.4,7.81,5,Darrun Hilliard,38,38,DET,Villanova,3.0,91.0,859.0,295.0,85.0,71.0,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6,2015
SEC,28.0,6.0,,2.0,4.6,0.445,2.0,4.5,0.456,0.0,0.1,0.0,2.0,3.6,0.56,1.2,1.6,2.8,0.5,0.5,0.1,1.0,2.3,6.1,1.86,2,Josh Richardson,40,40,MIA,Tennessee,8.0,470.0,13768.0,5623.0,1458.0,1275.0,0.428,0.364,0.841,29.3,12.0,3.1,2.7,24.5,0.085,-0.5,5.2,2015
ACC,139.0,123.0,32.3,3.7,8.2,0.45,1.8,3.2,0.549,1.9,5.0,0.386,1.2,1.5,0.777,1.0,4.9,5.9,1.8,0.7,0.5,1.0,1.7,10.5,6.88,5,Pat Connaughton,41,41,BRK,Notre Dame,8.0,443.0,8312.0,2668.0,1494.0,548.0,0.437,0.359,0.782,18.8,6.0,3.4,1.2,18.7,0.108,-0.2,3.8,2015
ACC,97.0,95.0,36.0,5.8,12.9,0.453,4.0,7.8,0.512,1.8,5.0,0.361,4.3,5.6,0.778,0.6,3.3,3.9,3.1,1.1,0.1,2.4,2.2,17.8,7.87,4,Olivier Hanlan,42,42,UTA,Boston College,,,,,,,,,,,,,,,,,,2015
Pac 12,132.0,115.0,32.8,5.9,13.0,0.453,3.7,7.4,0.501,2.2,5.6,0.39,3.5,3.9,0.886,0.6,3.0,3.6,2.7,1.0,0.1,1.7,1.5,17.5,3.04,7,Joe Young,43,43,IND,Oregon,3.0,127.0,1077.0,429.0,130.0,119.0,0.393,0.296,0.768,8.5,3.4,1.0,0.9,0.4,0.016,-4.1,-0.6,2015
SEC,79.0,78.0,28.6,2.8,7.6,0.372,1.9,5.2,0.374,0.9,2.4,0.367,3.6,4.6,0.777,0.6,2.1,2.7,3.8,0.8,0.2,2.2,2.4,10.1,9.28,3,Andrew Harrison,44,44,PHO,Kentucky,3.0,145.0,2987.0,1012.0,287.0,399.0,0.373,0.294,0.779,20.6,7.0,2.0,2.8,3.2,0.051,-2.8,-0.6,2015
Pac 12,141.0,83.0,25.2,3.6,7.7,0.461,2.8,5.2,0.533,0.8,2.5,0.314,1.8,2.5,0.746,0.4,2.6,3.0,1.5,1.1,0.4,1.3,2.0,9.8,7.23,5,Norman Powell,46,46,MIL,UCLA,8.0,454.0,10253.0,5287.0,1184.0,680.0,0.464,0.385,0.824,22.6,11.6,2.6,1.5,21.1,0.099,-0.2,4.8,2015
SEC,78.0,18.0,15.2,2.1,3.8,0.537,2.1,3.8,0.537,0.0,0.0,,1.6,2.9,0.559,1.9,2.4,4.3,0.5,0.3,0.8,0.9,1.9,5.8,9.28,3,Dakari Johnson,48,48,OKC,Kentucky,1.0,31.0,161.0,55.0,34.0,8.0,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,2015
Big 10,140.0,119.0,28.1,4.2,8.2,0.517,3.8,6.6,0.572,0.4,1.6,0.281,4.4,5.7,0.773,2.1,4.4,6.4,1.4,1.1,0.6,1.5,1.6,13.3,7.32,5,Aaron White,49,49,WAS,Iowa,,,,,,,,,,,,,,,,,,2015
Big Sky,84.0,67.0,31.4,5.9,12.7,0.463,2.8,5.5,0.504,3.1,7.2,0.432,3.8,4.4,0.847,0.6,2.9,3.5,2.3,1.0,0.2,1.8,1.9,18.6,-4.52,4,Tyler Harvey,51,51,ORL,Eastern Washington,,,,,,,,,,,,,,,,,,2015
Big East,130.0,76.0,28.2,3.1,6.6,0.477,3.0,5.7,0.518,0.2,0.8,0.193,1.9,2.8,0.681,1.2,4.0,5.2,2.3,1.5,1.3,1.7,2.8,8.3,7.44,5,Sir'Dominic Pointer,53,53,CLE,St. John's,,,,,,,,,,,,,,,,,,2015
A10,111.0,80.0,25.2,3.8,6.9,0.553,3.7,6.5,0.575,0.1,0.4,0.213,2.2,3.4,0.666,3.1,4.9,7.9,0.2,0.4,1.8,1.9,2.5,10.0,4.56,5,Cady Lalanne,55,55,SAS,UMass,,,,,,,,,,,,,,,,,,2015
Big 10,130.0,122.0,26.6,4.4,7.8,0.559,4.4,7.7,0.564,0.0,0.1,0.0,1.4,2.4,0.558,2.5,4.4,6.9,1.4,1.3,1.1,1.7,1.6,10.1,9.93,5,Branden Dawson,56,56,NOP,Michigan State,1.0,6.0,29.0,5.0,4.0,0.0,0.4,,1.0,4.8,0.8,0.7,0.0,0.0,0.069,-5.7,0.0,2015
ACC,107.0,67.0,22.3,2.7,5.8,0.462,2.5,5.0,0.491,0.2,0.7,0.266,1.2,2.3,0.544,1.4,3.0,4.4,2.7,1.2,0.3,1.7,2.0,6.7,9.41,4,J.P. Tokoto,58,58,PHI,UNC,,,,,,,,,,,,,,,,,,2015
SEC,33.0,32.0,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,0.333,6.0,9.0,0.67,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,7.0,2,Ben Simmons,1,1,PHI,LSU,5.0,306.0,10169.0,4613.0,2426.0,2319.0,0.561,0.143,0.591,33.2,15.1,7.9,7.6,32.6,0.154,3.5,14.2,2016
