Conf,G_x,GS,MP_x,FG,FGA,FG%_x,2P,2PA,2P%,3P,3PA,3P%_x,FT,FTA,FT%_x,ORB,DRB,TRB_x,AST_x,STL,BLK,TOV,PF,PTS_x,SOS,Years Played,Player,Rk,Pk,Tm,College,Yrs,G_y,MP_y,PTS_y,TRB_y,AST_y,FG%_y,3P%_y,FT%_y,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,Conf Tier
WCC,58.0,56.0,32.7,5.6,13.4,0.415,3.4,6.8,0.499,2.2,6.7,0.331,3.0,3.7,0.806,0.4,1.8,2.2,3.7,2.0,0.2,2.9,1.6,16.4,0.92,2,Patty Mills,55,55,POR,Saint Mary's,14.0,853.0,17453.0,7719.0,1421.0,1937.0,0.426,0.389,0.856,20.5,9.0,1.7,2.3,35.9,0.099,0.1,9.0,2009,Other
A10,126.0,108.0,33.0,4.9,7.8,0.627,4.9,7.8,0.628,0.0,0.0,0.0,4.5,6.1,0.733,2.8,4.7,7.6,0.5,0.7,1.3,2.2,2.7,14.2,3.39,4,Ahman Nivins,56,56,DAL,Saint Joseph's,,,,,,,,,,,,,,,,,,2009,Other
Ohio Valley,65.0,64.0,36.5,9.3,20.4,0.456,5.8,10.8,0.53,3.5,9.5,0.372,4.4,5.2,0.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,-5.64,2,Lester Hudson,58,58,BOS,University of Tennessee at Martin,4.0,57.0,594.0,268.0,77.0,71.0,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0.0,2009,Other
SEC,90.0,30.0,13.8,2.0,3.1,0.633,2.0,3.1,0.633,0.0,0.0,,1.2,2.0,0.578,1.6,2.7,4.4,0.2,0.2,0.9,1.1,1.7,5.1,6.24,3,Chinemelu Elonu,59,59,LAL,Texas A&M,,,,,,,,,,,,,,,,,,2009,SEC
AAC,148.0,111.0,25.0,3.3,7.1,0.466,3.0,6.0,0.493,0.3,1.1,0.312,2.4,3.4,0.692,2.6,3.9,6.5,1.0,1.0,1.5,1.7,2.6,9.3,4.63,4,Robert Dozier,60,60,MIA,Memphis,,,,,,,,,,,,,,,,,,2009,Other
SEC,37.0,37.0,34.8,5.5,11.8,0.461,4.5,8.8,0.509,1.0,3.1,0.325,4.7,6.3,0.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,6.82,1,John Wall,1,1,WAS,Kentucky,11.0,647.0,22588.0,12088.0,2704.0,5735.0,0.43,0.322,0.776,34.9,18.7,4.2,8.9,44.6,0.095,2.2,24.1,2010,SEC
Big 10,101.0,94.0,32.8,5.3,10.6,0.502,4.8,9.1,0.525,0.5,1.5,0.362,3.8,5.0,0.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15.0,7.86,3,Evan Turner,2,2,PHI,Ohio State,10.0,705.0,18938.0,6824.0,3278.0,2462.0,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5,2010,Big 10
ACC,36.0,35.0,27.5,5.0,8.1,0.611,5.0,8.1,0.613,0.0,0.0,0.0,2.5,4.0,0.629,3.0,5.4,8.4,1.0,0.9,2.1,2.5,2.6,12.4,9.02,1,Derrick Favors,3,3,NJN,Georgia Tech,12.0,790.0,19202.0,8354.0,5608.0,851.0,0.534,0.198,0.663,24.3,10.6,7.1,1.1,60.2,0.15,0.9,14.0,2010,ACC
ACC,93.0,90.0,31.6,5.0,10.9,0.454,3.6,6.9,0.516,1.4,4.0,0.349,2.6,3.3,0.768,2.2,4.7,7.0,1.6,1.1,1.2,2.2,2.3,13.9,6.79,3,Wesley Johnson,4,4,MIN,Syracuse,9.0,609.0,13472.0,4235.0,1924.0,645.0,0.404,0.337,0.741,22.1,7.0,3.2,1.1,10.7,0.038,-1.6,1.2,2010,ACC
SEC,38.0,37.0,23.5,5.4,9.7,0.558,5.4,9.6,0.565,0.0,0.2,0.167,4.3,7.1,0.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,6.82,1,DeMarcus Cousins,5,5,SAC,Kentucky,11.0,654.0,19509.0,12802.0,6664.0,1979.0,0.46,0.331,0.737,29.8,19.6,10.2,3.0,46.8,0.115,2.4,21.6,2010,SEC
Big 12,103.0,67.0,27.2,3.3,7.0,0.472,3.2,6.6,0.485,0.1,0.4,0.289,1.6,2.5,0.649,2.5,3.8,6.3,1.5,0.8,2.8,1.5,2.2,8.4,7.6,4,Ekpe Udoh,6,6,GSW,Baylor,7.0,384.0,5694.0,1353.0,1100.0,260.0,0.453,0.0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8,2010,Big 12
Big East,65.0,65.0,32.6,5.3,9.8,0.543,5.2,9.3,0.558,0.1,0.5,0.273,3.7,5.5,0.677,2.1,6.1,8.2,3.2,1.5,1.5,2.9,2.5,14.5,9.26,2,Greg Monroe,7,7,DET,Georgetown,10.0,646.0,17670.0,8402.0,5293.0,1376.0,0.514,0.059,0.703,27.4,13.0,8.2,2.1,50.4,0.137,1.4,15.3,2010,Big East
ACC,62.0,60.0,30.1,5.0,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.238,3.9,5.7,0.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,8.1,2,Al-Farouq Aminu,8,8,LAC,Wake Forest,11.0,711.0,17698.0,5350.0,4280.0,879.0,0.42,0.332,0.746,24.9,7.5,6.0,1.2,27.6,0.075,-0.6,6.5,2010,ACC
Big East,69.0,69.0,33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.824,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,3.57,2,Gordon Hayward,9,9,UTA,Butler,13.0,763.0,23727.0,11841.0,3428.0,2677.0,0.453,0.369,0.825,31.1,15.5,4.5,3.5,60.6,0.123,1.8,22.7,2010,Big East
MW,63.0,63.0,33.9,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.396,3.4,4.2,0.803,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5,1.13,2,Paul George,10,10,IND,Fresno State,13.0,777.0,26114.0,15967.0,4979.0,2849.0,0.437,0.383,0.849,33.6,20.5,6.4,3.7,80.2,0.147,4.0,39.8,2010,Other
Big 12,111.0,71.0,21.0,3.5,6.1,0.574,3.5,6.1,0.574,0.0,0.0,,2.3,3.2,0.729,2.3,5.5,7.7,0.6,0.5,2.3,1.2,2.1,9.4,8.12,3,Cole Aldrich,11,11,NOH,Kansas,8.0,339.0,3389.0,1050.0,1131.0,183.0,0.527,,0.738,10.0,3.1,3.3,0.5,9.6,0.135,0.1,1.8,2010,Big 12
Big 12,36.0,36.0,27.5,4.5,9.8,0.458,2.6,5.3,0.492,1.9,4.6,0.418,2.5,3.2,0.783,1.2,3.2,4.4,1.5,1.5,0.5,1.9,1.8,13.4,8.25,1,Xavier Henry,12,12,MEM,Kansas,5.0,185.0,2905.0,1050.0,351.0,120.0,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7,2010,Big 12
ACC,61.0,25.0,22.2,3.4,6.3,0.548,3.4,6.3,0.548,0.0,0.0,,2.3,3.7,0.623,2.4,5.3,7.7,0.7,0.4,2.1,1.4,1.9,9.2,9.09,2,Ed Davis,13,13,TOR,UNC,12.0,722.0,13756.0,4291.0,4616.0,539.0,0.567,0.0,0.583,19.1,5.9,6.4,0.7,43.3,0.151,-0.2,6.2,2010,ACC
SEC,97.0,97.0,34.0,6.4,10.9,0.585,6.1,10.1,0.604,0.2,0.8,0.329,3.2,4.3,0.734,2.9,5.3,8.2,1.5,0.7,1.6,1.6,2.1,16.1,6.24,3,Patrick Patterson,14,14,HOU,Kentucky,11.0,719.0,14923.0,4782.0,2799.0,736.0,0.447,0.369,0.755,20.8,6.7,3.9,1.0,31.9,0.102,0.0,7.4,2010,SEC
A10,101.0,82.0,23.5,4.1,7.9,0.52,4.1,7.7,0.526,0.0,0.2,0.25,2.1,3.6,0.577,2.5,5.2,7.7,0.5,0.6,2.7,1.5,3.1,10.3,-0.69,3,Larry Sanders,15,15,MIL,VCU,6.0,238.0,4635.0,1520.0,1345.0,174.0,0.48,0.0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1,2010,Other
MW,68.0,68.0,34.9,6.5,13.6,0.48,5.4,11.0,0.494,1.1,2.6,0.421,5.2,5.8,0.893,2.0,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98,2,Luke Babbitt,16,16,MIN,Nevada,8.0,381.0,5332.0,1818.0,846.0,224.0,0.408,0.402,0.747,14.0,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1,2010,Other
SEC,37.0,35.0,30.3,3.9,8.4,0.462,2.6,5.0,0.516,1.3,3.5,0.383,2.2,3.3,0.667,0.5,2.6,3.1,2.9,1.4,0.3,3.0,2.2,11.3,6.82,1,Eric Bledsoe,18,18,OKC,Kentucky,12.0,756.0,21021.0,10348.0,2937.0,3545.0,0.452,0.336,0.784,27.8,13.7,3.9,4.7,46.1,0.105,1.6,18.8,2010,SEC
Big 12,34.0,32.0,29.5,4.7,10.8,0.432,3.4,7.5,0.457,1.2,3.3,0.375,1.1,1.9,0.545,1.0,1.9,2.9,2.1,1.3,0.5,1.5,2.4,11.6,7.38,1,Avery Bradley,19,19,BOS,Texas,12.0,660.0,18151.0,7279.0,1863.0,1105.0,0.434,0.365,0.783,27.5,11.0,2.8,1.7,17.2,0.045,-2.4,-1.8,2010,Big 12
Big 12,101.0,99.0,32.8,5.8,12.6,0.46,3.5,6.6,0.536,2.2,5.9,0.375,4.2,5.2,0.797,1.9,3.1,5.1,1.6,1.1,0.6,2.1,2.1,17.9,7.36,3,James Anderson,20,20,SAS,Oklahoma State,5.0,247.0,4320.0,1422.0,560.0,291.0,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8,2010,Big 12
Big 12,96.0,95.0,31.8,6.0,13.4,0.445,5.2,10.9,0.48,0.7,2.5,0.292,3.4,4.7,0.726,1.7,6.0,7.7,1.6,0.5,1.0,2.0,2.0,16.0,7.34,3,Craig Brackins,21,21,OKC,Iowa State,2.0,17.0,121.0,30.0,19.0,9.0,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2,2010,Big 12
AAC,68.0,46.0,24.9,3.4,7.6,0.454,2.4,4.6,0.524,1.0,2.9,0.345,3.2,4.4,0.719,0.8,2.3,3.1,2.2,1.0,0.1,1.9,1.9,11.1,6.36,2,Elliot Williams,22,22,POR,Memphis,4.0,109.0,1470.0,537.0,161.0,94.0,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,2010,Other
ACC,134.0,134.0,28.4,5.1,9.2,0.559,5.0,8.6,0.574,0.2,0.5,0.324,2.4,3.9,0.624,3.0,4.9,7.9,1.7,1.1,1.9,1.9,2.3,12.9,7.85,4,Trevor Booker,23,23,MIN,Clemson,8.0,532.0,10872.0,3679.0,2932.0,566.0,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2,2010,ACC
Big 12,142.0,140.0,29.3,5.0,10.4,0.479,4.2,8.4,0.506,0.7,2.0,0.364,2.8,4.4,0.64,2.9,6.3,9.3,1.1,1.0,1.1,1.8,2.8,13.5,7.54,4,Damion James,24,24,ATL,Texas,4.0,39.0,623.0,150.0,131.0,26.0,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3,2010,Big 12
AAC,95.0,94.0,36.5,6.2,14.1,0.442,4.5,8.9,0.512,1.7,5.2,0.323,4.8,6.5,0.737,1.5,3.9,5.4,3.5,1.5,0.4,2.6,2.6,18.9,7.32,3,Dominique Jones,25,25,MEM,South Florida,3.0,80.0,741.0,246.0,114.0,144.0,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1,2010,Other
Pac 12,136.0,102.0,27.3,4.8,9.5,0.503,4.4,8.3,0.528,0.4,1.2,0.327,3.1,4.1,0.768,2.4,3.2,5.6,1.7,0.8,0.3,1.9,2.5,13.1,7.55,4,Quincy Pondexter,26,26,OKC,Washington,7.0,355.0,5530.0,1609.0,640.0,263.0,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3,2010,Pac 12
Big East,65.0,42.0,29.3,5.6,12.4,0.455,4.0,8.0,0.494,1.7,4.4,0.384,2.6,3.3,0.765,1.0,3.1,4.1,2.6,1.2,0.2,2.2,1.6,15.5,6.01,2,Jordan Crawford,27,27,NJN,Xavier,6.0,281.0,6843.0,3432.0,703.0,883.0,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3,2010,Big East
Big 10,136.0,123.0,33.6,5.5,13.0,0.425,3.8,7.9,0.487,1.7,5.1,0.329,3.2,3.9,0.828,1.0,3.8,4.8,5.7,1.4,0.3,3.3,2.2,16.0,7.95,4,Greivis Vásquez,28,28,MEM,Maryland,7.0,401.0,9520.0,3591.0,1021.0,1935.0,0.418,0.349,0.817,23.7,9.0,2.5,4.8,12.6,0.064,-1.2,1.8,2010,Big 10
SEC,38.0,0.0,13.2,1.3,2.4,0.527,1.3,2.3,0.539,0.0,0.1,0.0,0.9,1.7,0.524,1.2,2.1,3.3,0.4,0.6,1.4,1.0,2.3,3.4,6.82,1,Daniel Orton,29,29,ORL,Kentucky,3.0,51.0,542.0,143.0,126.0,24.0,0.485,0.0,0.597,10.6,2.8,2.5,0.5,1.0,0.093,-3.5,-0.2,2010,SEC
Big East,138.0,118.0,26.4,4.8,10.7,0.452,3.6,7.3,0.497,1.2,3.4,0.357,2.6,3.3,0.789,2.2,4.4,6.6,0.9,1.1,0.3,1.7,2.7,13.5,7.79,4,Lazar Hayward,30,30,WAS,Marquette,3.0,72.0,591.0,207.0,90.0,35.0,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3,2010,Big East
Big 12,134.0,59.0,12.2,2.5,4.0,0.623,2.5,4.0,0.623,0.0,0.0,,1.6,2.6,0.601,2.0,1.9,3.9,0.3,0.2,0.9,1.1,2.0,6.6,7.54,4,Dexter Pittman,32,32,MIA,Texas,4.0,50.0,347.0,116.0,89.0,9.0,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5,2010,Big 12
Sun Belt,34.0,23.0,26.1,4.9,9.4,0.524,4.8,9.2,0.522,0.1,0.1,0.6,3.2,5.5,0.588,2.7,6.2,8.9,0.3,0.6,5.4,1.9,2.4,13.1,1.57,1,Hassan Whiteside,33,33,SAC,Marshall,10.0,511.0,12645.0,6450.0,5523.0,327.0,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52.0,0.197,2.5,14.5,2010,Other
MW,101.0,99.0,32.7,5.4,11.6,0.467,4.7,9.2,0.514,0.7,2.4,0.289,2.8,3.7,0.75,0.8,2.9,3.7,4.4,0.8,0.2,2.7,1.7,14.3,1.28,3,Armon Johnson,34,34,POR,Nevada,2.0,47.0,401.0,157.0,49.0,56.0,0.458,0.4,0.679,8.5,3.3,1.0,1.2,-0.1,-0.015,-4.1,-0.2,2010,Other
SEC,66.0,55.0,30.8,5.3,12.3,0.429,3.4,7.0,0.491,1.9,5.4,0.347,2.0,3.0,0.68,1.2,2.8,4.0,1.9,0.8,0.2,1.5,1.8,14.5,5.59,2,Terrico White,36,36,DET,Ole Miss,,,,,,,,,,,,,,,,,,2010,SEC
MW,35.0,35.0,33.6,5.5,12.5,0.44,4.4,9.5,0.465,1.1,3.1,0.361,3.7,5.7,0.653,2.1,7.1,9.3,4.6,1.3,0.4,3.0,1.9,15.9,3.84,1,Darington Hobson,37,37,MIL,New Mexico,1.0,5.0,39.0,4.0,3.0,6.0,0.154,0.0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13.0,-0.1,2010,Other
ACC,127.0,65.0,24.4,2.8,7.1,0.396,0.6,1.2,0.506,2.2,5.9,0.374,0.9,1.2,0.763,0.4,2.2,2.6,2.7,1.4,0.2,1.7,1.9,8.8,7.83,4,Andy Rautins,38,38,NYK,Syracuse,1.0,5.0,24.0,8.0,1.0,3.0,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1,2010,ACC
Pac 12,129.0,65.0,23.6,3.9,8.4,0.463,3.1,6.0,0.51,0.8,2.3,0.342,2.3,3.3,0.676,1.6,3.5,5.0,1.6,0.9,0.4,1.5,1.6,10.8,7.35,4,Landry Fields,39,39,NYK,Stanford,5.0,255.0,6010.0,1731.0,1092.0,419.0,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6,2010,Pac 12
AAC,34.0,32.0,28.2,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.219,2.3,3.5,0.664,1.9,3.5,5.4,2.5,0.9,0.2,2.4,1.9,12.3,8.45,1,Lance Stephenson,40,40,IND,Cincinnati,10.0,554.0,12680.0,4738.0,2251.0,1621.0,0.445,0.314,0.694,22.9,8.6,4.1,2.9,17.5,0.066,-1.3,2.3,2010,Other
SEC,141.0,119.0,25.5,3.9,6.6,0.589,3.9,6.6,0.591,0.0,0.0,0.25,2.2,3.6,0.595,2.5,5.3,7.8,0.6,0.5,4.0,1.4,2.4,10.0,5.47,4,Jarvis Varnado,41,41,MIA,Mississippi State,2.0,37.0,397.0,107.0,72.0,16.0,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1,2010,SEC
Big 12,146.0,110.0,30.8,5.1,11.3,0.448,3.7,7.3,0.5,1.4,4.0,0.353,2.8,3.8,0.732,1.8,3.6,5.5,1.9,1.1,0.2,1.7,2.3,14.3,7.8,4,Da'Sean Butler,42,42,MIA,West Virginia,,,,,,,,,,,,,,,,,,2010,Big 12
Big 12,69.0,65.0,32.1,4.0,8.6,0.463,3.9,7.6,0.51,0.1,1.0,0.114,3.1,4.2,0.736,2.8,5.2,7.9,2.6,0.9,0.7,2.1,1.7,11.2,9.3,2,Devin Ebanks,43,43,LAL,West Virginia,3.0,63.0,711.0,224.0,122.0,24.0,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,2010,Big 12
AAC,133.0,119.0,24.2,4.1,7.2,0.567,4.1,7.2,0.567,0.0,0.0,,3.1,4.5,0.696,2.2,5.2,7.4,0.8,0.4,2.5,2.0,2.5,11.3,2.63,4,Jerome Jordan,44,44,MIL,Tulsa,2.0,65.0,491.0,180.0,132.0,17.0,0.528,,0.852,7.6,2.8,2.0,0.3,1.7,0.168,-1.0,0.1,2010,Other
ACC,99.0,91.0,24.3,4.5,8.2,0.548,4.5,8.2,0.55,0.0,0.0,0.0,2.8,5.0,0.552,2.7,4.5,7.2,0.4,0.6,1.3,2.1,2.4,11.8,8.64,3,Gani Lawal,46,46,PHO,Georgia Tech,1.0,1.0,2.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,0.0,0.0,-0.009,-15.0,0.0,2010,ACC
Big 12,30.0,21.0,24.0,4.1,7.4,0.547,3.9,6.9,0.573,0.1,0.6,0.235,2.1,3.0,0.697,2.8,5.2,7.9,0.8,0.7,0.8,2.3,2.8,10.3,7.79,1,Tiny Gallon,47,47,MIL,Oklahoma,,,,,,,,,,,,,,,,,,2010,Big 12
ACC,77.0,68.0,22.0,3.5,6.6,0.534,3.5,6.6,0.535,0.0,0.0,0.0,2.1,2.9,0.745,2.1,3.3,5.4,0.4,0.5,2.1,1.7,2.1,9.1,7.34,3,Solomon Alabi,50,50,DAL,Florida State,2.0,26.0,181.0,39.0,61.0,5.0,0.314,,0.7,7.0,1.5,2.3,0.2,0.0,0.01,-4.4,-0.1,2010,ACC
CUSA,126.0,72.0,21.0,3.2,6.5,0.503,3.2,6.4,0.504,0.0,0.0,0.333,1.6,2.6,0.634,2.2,3.4,5.6,0.6,0.6,1.4,1.4,2.2,8.1,3.46,4,Magnum Rolle,51,51,OKC,Louisiana Tech,,,,,,,,,,,,,,,,,,2010,Other
ACC,129.0,108.0,29.2,7.3,15.3,0.476,6.9,14.3,0.486,0.3,1.0,0.326,4.4,5.6,0.782,3.0,6.5,9.5,1.6,0.8,0.7,1.8,2.4,19.2,6.73,4,Luke Harangody,52,52,BOS,Notre Dame,2.0,70.0,871.0,253.0,196.0,36.0,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,2010,ACC
Big 12,57.0,53.0,31.7,4.9,10.6,0.459,3.2,5.8,0.55,1.7,4.9,0.35,3.8,4.8,0.788,0.6,2.1,2.6,3.5,1.1,0.1,2.8,2.3,15.2,7.33,2,Willie Warren,54,54,LAC,Oklahoma,1.0,19.0,134.0,37.0,12.0,27.0,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0.0,2010,Big 12
CUSA,134.0,130.0,23.5,3.2,5.0,0.639,3.1,4.7,0.654,0.1,0.2,0.364,1.5,2.2,0.684,2.4,3.5,5.9,0.5,0.6,1.7,1.0,2.4,7.9,-1.72,4,Jeremy Evans,55,55,UTA,Western Kentucky,7.0,250.0,2626.0,879.0,641.0,107.0,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9,2010,Other
Big 10,124.0,85.0,22.1,2.2,4.0,0.539,2.2,4.0,0.542,0.0,0.0,0.0,1.5,2.5,0.592,1.8,3.7,5.5,0.4,0.4,2.9,1.4,2.7,5.8,6.36,4,Hamady N'Diaye,56,56,MIN,Rutgers University,3.0,33.0,157.0,20.0,25.0,3.0,0.467,,0.462,4.8,0.6,0.8,0.1,0.0,0.013,-7.3,-0.2,2010,Big 10
ACC,126.0,66.0,20.2,1.9,3.8,0.495,1.9,3.8,0.494,0.0,0.0,1.0,1.2,2.0,0.604,1.7,2.2,3.9,0.7,0.5,0.6,1.6,1.9,5.0,7.66,4,Ryan Reid,57,57,IND,Florida State,1.0,5.0,17.0,8.0,2.0,0.0,0.8,,,3.4,1.6,0.4,0.0,0.1,0.142,-2.0,0.0,2010,ACC
CUSA,79.0,36.0,19.7,4.0,7.1,0.563,3.9,6.9,0.57,0.1,0.2,0.313,2.2,3.6,0.628,2.4,3.2,5.6,0.6,0.7,0.8,2.2,3.1,10.3,5.88,4,Derrick Caracter,58,58,LAL,Texas-El Paso,1.0,41.0,215.0,81.0,43.0,7.0,0.485,,0.739,5.2,2.0,1.0,0.2,0.3,0.057,-7.1,-0.3,2010,Other
Big East,126.0,103.0,26.2,3.9,8.0,0.485,3.3,6.3,0.52,0.6,1.7,0.351,1.4,2.2,0.646,2.1,4.1,6.2,1.0,0.6,1.0,1.7,1.6,9.8,7.64,4,Stanley Robinson,59,59,ORL,UConn,,,,,,,,,,,,,,,,,,2010,Big East
ACC,126.0,99.0,23.6,3.7,6.5,0.565,3.7,6.5,0.565,0.0,0.0,,2.5,4.5,0.563,3.0,4.0,7.0,0.9,0.7,0.7,1.8,2.1,9.9,7.58,4,Dwayne Collins,60,60,PHO,Miami (FL),,,,,,,,,,,,,,,,,,2010,ACC
ACC,11.0,8.0,27.5,5.0,9.5,0.529,3.4,5.9,0.569,1.6,3.5,0.462,5.8,6.5,0.901,0.5,2.8,3.4,4.3,1.5,0.5,2.5,2.1,17.5,8.32,1,Kyrie Irving,1,1,CLE,Duke,12.0,651.0,22282.0,15173.0,2543.0,3714.0,0.471,0.391,0.882,34.2,23.3,3.9,5.7,76.5,0.165,4.5,36.3,2011,ACC
Pac 12,69.0,68.0,29.2,5.6,9.6,0.586,5.0,8.3,0.598,0.7,1.3,0.511,5.9,8.2,0.719,2.5,5.2,7.7,0.9,0.8,0.7,2.3,2.7,17.8,8.05,2,Derrick Williams,2,2,MIN,Arizona,7.0,428.0,8864.0,3809.0,1693.0,293.0,0.434,0.3,0.71,20.7,8.9,4.0,0.7,14.1,0.076,-1.6,0.8,2011,Pac 12
Big 12,128.0,99.0,25.5,3.6,8.2,0.439,2.2,4.6,0.472,1.4,3.6,0.396,4.1,5.0,0.816,0.6,2.1,2.8,1.3,0.6,0.1,1.7,1.8,12.7,-3.82,4,Tristan Thompson,4,4,CLE,Texas,11.0,730.0,19556.0,6592.0,6120.0,725.0,0.519,0.263,0.605,26.8,9.0,8.4,1.0,47.6,0.117,-1.7,1.4,2011,Big 12
SEC,38.0,38.0,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,8.91,1,Brandon Knight,8,8,DET,Kentucky,9.0,451.0,13202.0,6301.0,1385.0,1777.0,0.411,0.352,0.807,29.3,14.0,3.1,3.9,11.6,0.042,-1.6,1.4,2011,SEC
Big East,111.0,77.0,32.9,5.2,12.2,0.428,4.1,8.7,0.469,1.1,3.5,0.326,4.5,5.8,0.783,1.0,3.4,4.4,4.1,1.7,0.3,2.3,1.5,16.1,9.39,3,Kemba Walker,9,9,CHA,UConn,12.0,750.0,24810.0,14486.0,2831.0,3938.0,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.9,0.116,2.8,29.8,2011,Big East
WCC,139.0,102.0,29.6,6.0,13.3,0.455,3.9,7.8,0.497,2.1,5.4,0.394,4.5,5.1,0.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7,3.56,4,Jimmer Fredette,10,10,MIL,BYU,6.0,241.0,3213.0,1438.0,243.0,331.0,0.409,0.372,0.879,13.3,6.0,1.0,1.4,2.2,0.033,-2.5,-0.4,2011,Other
Pac 12,98.0,96.0,34.4,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.39,3.2,3.9,0.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9,6.32,3,Klay Thompson,11,11,GSW,Washington State,10.0,689.0,22651.0,13541.0,2421.0,1603.0,0.455,0.416,0.853,32.9,19.7,3.5,2.3,50.0,0.106,0.6,15.1,2011,Pac 12
Pac 12,68.0,67.0,30.9,6.2,12.6,0.495,5.5,10.4,0.533,0.7,2.2,0.313,5.9,7.3,0.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0,6.65,2,Alec Burks,12,12,UTA,Colorado,12.0,667.0,15316.0,7205.0,2337.0,1357.0,0.42,0.385,0.8,23.0,10.8,3.5,2.0,28.3,0.089,-0.4,6.0,2011,Pac 12
Big 12,109.0,43.0,19.3,3.1,5.7,0.553,2.8,4.8,0.579,0.3,0.9,0.404,1.9,2.9,0.653,2.0,4.1,6.1,1.2,0.6,0.9,1.6,2.7,8.5,7.92,3,Markieff Morris,13,13,PHO,Kansas,12.0,742.0,18009.0,7918.0,3773.0,1178.0,0.446,0.342,0.778,24.3,10.7,5.1,1.6,27.5,0.073,-1.4,2.8,2011,Big 12
Big 12,109.0,90.0,24.0,4.7,8.4,0.555,4.3,7.3,0.585,0.4,1.1,0.358,2.9,4.3,0.66,2.4,3.8,6.2,1.3,0.9,0.4,1.6,2.6,12.6,7.92,3,Marcus Morris,14,14,HOU,Kansas,12.0,767.0,20866.0,9548.0,3513.0,1173.0,0.435,0.378,0.773,27.2,12.4,4.6,1.5,38.7,0.089,-0.6,7.5,2011,Big 12
MW,70.0,69.0,31.9,5.4,12.0,0.449,4.8,9.7,0.497,0.6,2.3,0.25,2.8,3.7,0.744,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,5.29,2,Kawhi Leonard,15,15,IND,San Diego State,11.0,607.0,19024.0,11770.0,3880.0,1797.0,0.493,0.383,0.858,31.3,19.4,6.4,3.0,87.2,0.22,6.8,42.3,2011,Other
